epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.95,1.50027,3.13574,1.36063,0.00806,0.96667,0.42148,0.30268,0.90069,3.13504,0.90098,0.00034,0.00034,0.00034
2,202.037,1.09874,1.84843,1.08975,1,0.22316,0.58633,0.39779,1.06611,2.81412,0.95558,0.00068614,0.00068614,0.00068614
3,279.388,1.08996,1.45621,1.11316,1,0.2288,0.59254,0.4115,1.03176,2.69237,0.97255,0.00101802,0.00101802,0.00101802
4,322.633,1.14769,1.4391,1.11649,0.8766,0.45,0.60911,0.40143,1.18882,2.5237,1.0484,0.00133565,0.00133565,0.00133565
5,367.982,1.05855,1.35799,1.08942,0.88159,0.56667,0.65085,0.4712,1.08613,2.3325,1.02654,0.00163902,0.00163902,0.00163902
6,411.075,1.07464,1.31148,1.10582,0.92522,0.41256,0.61126,0.43827,1.17969,2.40656,1.19742,0.001802,0.001802,0.001802
7,448.89,1.06979,1.20234,1.06951,1,0.32137,0.50767,0.34287,1.18506,2.66011,1.25578,0.0017624,0.0017624,0.0017624
8,487.135,1.0046,1.24139,1.081,0.85192,0.57543,0.76199,0.54809,1.06868,2.05058,1.08624,0.0017228,0.0017228,0.0017228
9,527.099,1.01956,1.16349,1.0761,0.81948,0.75669,0.84374,0.57154,1.1356,1.60843,1.14381,0.0016832,0.0016832,0.0016832
10,566.658,0.98076,1.13824,1.05753,0.85438,0.81667,0.87504,0.60987,1.03965,1.57669,1.05606,0.0016436,0.0016436,0.0016436
11,608.173,0.9086,1.0162,1.00128,0.76046,0.79372,0.83934,0.5862,1.01647,1.60156,1.05031,0.001604,0.001604,0.001604
12,644.689,0.96164,1.04429,1.02856,0.86754,0.76415,0.8946,0.63682,0.98967,1.23648,1.01372,0.0015644,0.0015644,0.0015644
13,682.537,0.92145,1.01713,1.01055,0.90763,0.78333,0.90514,0.63927,0.95117,1.16741,1.01057,0.0015248,0.0015248,0.0015248
